,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Build Report,Suggests,Depends,Version,In Bioconductor since,Imports Me,Depends On Me,SystemRequirements
GWASTools,"GeneticVariability,Microarray,QualityControl,SNP,Software",,,Artistic-2.0,,"methods,DBI,RSQLite,GWASExactHW,DNAcopy,survival,sandwich,lmtest,quantsmooth",,&nbsp;,"GWASdata,BiocGenerics,RUnit,SNPRelate,snpStats,VariantAnnotation","Biobase,ncdf,gdsfmt",1.12.2,BioC 2.9 (R-2.14),,GWASdata,
GeneAnswers,"DataRepresentation,GraphsAndNetworks,Infrastructure,Software,Visualization",,,LGPL (>= 2),,"RBGL,annotate,downloader",,&nbsp;,"GO.db,KEGG.db,reactome.db,biomaRt,AnnotationDbi,org.Hs.eg.db,org.Rn.eg.db,org.Mm.eg.db,org.Dm.eg.db,graph","R (>= 3.0.0),igraph,RCurl,annotate,Biobase(>= 1.12.0), methods,XML,RSQLite,MASS,Heatplus,RColorBrewer",2.8.0,BioC 2.5 (R-2.10),,,
GeneExpressionSignature,"GeneExpression,Software",,,GPL-2,,,,&nbsp;,"apcluster,GEOquery","R (>= 2.13),Biobase,PGSEA",1.12.0,BioC 2.9 (R-2.14),,,
GeneGA,"GeneExpression,Software",,,GPL version 2,http://www.tbi.univie.ac.at/~ivo/RNA/,,,&nbsp;,,"seqinr,hash, methods",1.16.0,BioC 2.7 (R-2.12),,,
GeneMeta,"GeneExpression,Metagenomics,Microarray,Sequencing,Software",,,Artistic-2.0,,"methods,Biobase(>= 2.5.5)","genefu,XDE",&nbsp;,RColorBrewer,"R (>= 2.10), methods,Biobase(>= 2.5.5),genefilter",1.38.0,BioC 1.6 (R-2.1) or earlier,,,
GeneNetworkBuilder,"GraphAndNetwork,Microarray,Sequencing,Software",,Rcpp,GPL (>= 2),,"plyr,graph",,&nbsp;,"RUnit,BiocGenerics,Rgraphviz,XML,RCytoscape,RBGL","R (>= 2.15.1),Rcpp(>= 0.9.13),graph",1.8.0,BioC 2.11 (R-2.15),,,
GeneOverlap,"MultipleComparison,Software,Visualization",,,GPL-3,http://shenlab-sinai.github.io/shenlab-sinai/,"stats,RColorBrewer,gplots, methods",,&nbsp;,"RUnit,BiocGenerics,BiocStyle",,1.2.0,BioC 2.14 (R-3.1),,,
GeneRegionScan,"DataImport,Microarray,OneChannel,SNP,Software,Visualization",,,GPL (>= 2),,"Biobase(>= 2.5.5),affxparser,RColorBrewer,Biostrings",,&nbsp;,"BSgenome,affy,AnnotationDbi","methods,Biobase(>= 2.5.5),Biostrings",1.22.0,BioC 2.4 (R-2.9),,,
GeneSelectMMD,"DifferentialExpression,Software",,,GPL (>= 2),,"Biobase,MASS, graphics, stats,survival,limma",,&nbsp;,ALL,"R (>= 2.13.2),Biobase",2.10.0,BioC 2.4 (R-2.9),,,
GeneSelector,"DifferentialExpression,Software,StatisticalMethod",,,GPL (>= 2),,"multtest,siggenes,samr,limma",,&nbsp;,"multtest,siggenes,samr,limma","R (>= 2.5.1), methods, stats,Biobase",2.16.0,BioC 2.2 (R-2.7),,,
GeneticsDesign,"Genetics,Software",,,GPL-2,,"gmodels, graphics,gtools(>= 2.4.0),mvtnorm, stats",,&nbsp;,,,1.34.0,BioC 2.0 (R-2.5),,,
GeneticsPed,"Genetics,Software",,,LGPL (>= 2.1) | file LICENSE,http://rgenetics.org,"gdata,genetics",,&nbsp;,"RUnit,gtools","R (>= 2.4.0),MASS",1.28.0,BioC 2.0 (R-2.5),,,
GenoView,"Software,Visualization",,,GPL-3,,"ggbio,ggplot2, grid,biovizBase",,&nbsp;,"TxDb.Hsapiens.UCSC.hg19.knownGene,PFAM.db,AnnotationDbi,gtable,gWidgets,gWidgetsRGtk2,RGtk2,RColorBrewer","R (>= 2.10),gridExtra,GenomicRanges",1.0.0,BioC 3.0 (R-3.1),,,
GenomeGraphs,"Microarray,Software,Visualization",,,Artistic-2.0,,,"leeBamViews,oneChannelGUI,rMAT,triplex",&nbsp;,,"R (>= 2.10), methods,biomaRt, grid",1.26.0,BioC 2.2 (R-2.7),,"Genominator,waveTiling",
GenomeInfoDb,"Annotation,DataRepresentation,Genetics,GenomeAnnotation,Software",,,Artistic-2.0,,"methods,BiocGenerics,S4Vectors",QDNAseq,&nbsp;,"GenomicRanges,Rsamtools,GenomicAlignments,BSgenome,GenomicFeatures,BSgenome.Scerevisiae.UCSC.sacCer2,BSgenome.Celegans.UCSC.ce2,BSgenome.Hsapiens.NCBI.GRCh38,TxDb.Dmelanogaster.UCSC.dm3.ensGene,RUnit,BiocStyle,knitr","R (>= 3.1), methods, stats4,BiocGenerics,S4Vectors(>= 0.2.0),IRanges(>= 1.99.26)",1.2.5,BioC 2.14 (R-3.1),"AllelicImbalance,ballgown,biovizBase,BSgenome,casper,CexoR,ChIPseeker,CNEr,compEpiTools,csaw,derfinder,derfinderPlot,DNaseR,easyRNASeq,epivizr,exomeCopy,genoset,ggbio,GGtools,gwascat,h5vc,methylPipe,methylumi,MinimumDistance,NarrowPeaks,qpgraph,Rariant,regionReport,Repitools,rtracklayer,seqplots,SGSeq,ShortRead,SNPchip,SomaticSignatures,VanillaICE,VariantFiltering,VariantTools","AnnotationDbi,BSgenome,bumphunter,CSAR,GenomicAlignments,GenomicFeatures,GenomicRanges,GenomicTuples,gmapR,Gviz,htSeqTools,IdeoViz,methyAnalysis,Rsamtools,TitanCNA,VariantAnnotation",
GenomicAlignments,"Alignment,Coverage,DataImport,Genetics,Infrastructure,RNASeq,SNP,Sequencing,Software",,"S4Vectors,IRanges",Artistic-2.0,,"methods, stats,BiocGenerics,S4Vectors,IRanges,GenomicRanges,Biostrings,Rsamtools,BiocParallel","BiocParallel,gage,GenomeInfoDb,GenomicRanges,parathyroidSE,RNAseqData.HNRNPC.bam.chr14,RnaSeqTutorial,Rsamtools,Streamer",&nbsp;,"rtracklayer,BSgenome,GenomicFeatures,RNAseqData.HNRNPC.bam.chr14,pasillaBamSubset,TxDb.Hsapiens.UCSC.hg19.knownGene,TxDb.Dmelanogaster.UCSC.dm3.ensGene,BSgenome.Dmelanogaster.UCSC.dm3,BSgenome.Hsapiens.UCSC.hg19,DESeq,edgeR,RUnit,BiocStyle","R (>= 2.10), methods,BiocGenerics(>= 0.11.3),S4Vectors(>= 0.2.2),IRanges(>= 1.99.27),GenomeInfoDb(>= 1.1.20),GenomicRanges(>= 1.17.42),Biostrings(>= 2.33.14),Rsamtools(>= 1.18.3)",1.2.2,BioC 2.14 (R-3.1),"biovizBase,ChIPQC,CNEr,CoverageView,csaw,customProDB,derfinder,easyRNASeq,FourCSeq,GenomicFiles,ggbio,gmapR,Gviz,HTSeqGenie,leeBamViews,methylPipe,PICS,QuasR,Repitools,roar,rtracklayer,SGSeq,SplicingGraphs,trackViewer","AllelicImbalance,chimera,DiffBind,groHMM,hiReadsProcessor,metagene,prebs,RIPSeeker,rnaSeqMap,ShortRead,SplicingGraphs",
GenomicFeatures,"Annotation,Genetics,GenomeAnnotation,Infrastructure,Sequencing,Software",,,Artistic-2.0,,"methods,DBI(>= 0.2-5),RSQLite(>= 0.8-1),Biostrings(>= 2.23.3),rtracklayer(>= 1.26.3),biomaRt(>= 2.17.1),RCurl, utils,Biobase(>= 2.15.1)","biomvRCNS,Biostrings,BSgenome.Btaurus.UCSC.bosTau3,BSgenome.Btaurus.UCSC.bosTau4,BSgenome.Btaurus.UCSC.bosTau6,BSgenome.Celegans.UCSC.ce10,BSgenome.Celegans.UCSC.ce2,BSgenome.Cfamiliaris.UCSC.canFam2,BSgenome.Cfamiliaris.UCSC.canFam3,BSgenome.Dmelanogaster.UCSC.dm2,BSgenome.Drerio.UCSC.danRer5,BSgenome.Drerio.UCSC.danRer6,BSgenome.Drerio.UCSC.danRer7,BSgenome.Gaculeatus.UCSC.gasAcu1,BSgenome.Ggallus.UCSC.galGal3,BSgenome.Ggallus.UCSC.galGal4,BSgenome.Hsapiens.UCSC.hg17,BSgenome.Mmulatta.UCSC.rheMac2,BSgenome.Mmulatta.UCSC.rheMac3,BSgenome.Mmusculus.UCSC.mm8,BSgenome.Ptroglodytes.UCSC.panTro2,BSgenome.Ptroglodytes.UCSC.panTro3,chipseq,cummeRbund,DEXSeq,easyRNASeq,GenomeInfoDb,GenomicAlignments,GenomicRanges,ggtut,groHMM,ind1KG,MiRaGE,parathyroidSE,RIPSeeker,Rsamtools,ShortRead,systemPipeR",&nbsp;,"org.Mm.eg.db,BSgenome,BSgenome.Hsapiens.UCSC.hg19(>= 1.3.17),BSgenome.Celegans.UCSC.ce2,BSgenome.Dmelanogaster.UCSC.dm3(>= 1.3.17),mirbase.db,FDb.UCSC.tRNAs,TxDb.Hsapiens.UCSC.hg19.knownGene,TxDb.Dmelanogaster.UCSC.dm3.ensGene(>= 2.7.1),Rsamtools,pasillaBamSubset(>= 0.0.5),RUnit,BiocStyle,knitr","BiocGenerics(>= 0.1.0),S4Vectors(>= 0.1.5),IRanges(>= 1.99.1),GenomeInfoDb(>= 1.1.3),GenomicRanges(>= 1.17.12),AnnotationDbi(>= 1.27.9)",1.18.7,BioC 2.5 (R-2.10),"AllelicImbalance,biovizBase,casper,ChIPpeakAnno,ChIPseeker,compEpiTools,CompGO,csaw,customProDB,derfinder,derfinderPlot,epivizr,FDb.FANTOM4.promoters.hg19,FDb.InfiniumMethylation.hg18,FDb.InfiniumMethylation.hg19,FDb.UCSC.snp135common.hg19,FDb.UCSC.snp137common.hg19,FDb.UCSC.tRNAs,geneLenDataBase,ggbio,gmapR,Gviz,Homo.sapiens,HTSeqGenie,lumi,MEDIPS,methyAnalysis,Mus.musculus,proBAMr,qpgraph,QuasR,Rattus.norvegicus,SGSeq,SplicingGraphs,trackViewer,TxDb.Athaliana.BioMart.plantsmart22,TxDb.Celegans.UCSC.ce6.ensGene,TxDb.Dmelanogaster.UCSC.dm3.ensGene,TxDb.Hsapiens.BioMart.igis,TxDb.Hsapiens.UCSC.hg18.knownGene,TxDb.Hsapiens.UCSC.hg19.knownGene,TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,TxDb.Hsapiens.UCSC.hg38.knownGene,TxDb.Mmusculus.UCSC.mm10.ensGene,TxDb.Mmusculus.UCSC.mm10.knownGene,TxDb.Mmusculus.UCSC.mm9.knownGene,TxDb.Rnorvegicus.BioMart.igis,TxDb.Rnorvegicus.UCSC.rn4.ensGene,TxDb.Rnorvegicus.UCSC.rn5.refGene,TxDb.Scerevisiae.UCSC.sacCer2.sgdGene,TxDb.Scerevisiae.UCSC.sacCer3.sgdGene,VariantAnnotation,VariantFiltering,VariantTools,wavClusteR","exomePeak,FDb.FANTOM4.promoters.hg19,FDb.InfiniumMethylation.hg18,FDb.InfiniumMethylation.hg19,FDb.UCSC.snp135common.hg19,FDb.UCSC.snp137common.hg19,FDb.UCSC.tRNAs,ggtut,Homo.sapiens,Mus.musculus,mygene,OrganismDbi,Rattus.norvegicus,SplicingGraphs,TxDb.Athaliana.BioMart.plantsmart22,TxDb.Celegans.UCSC.ce6.ensGene,TxDb.Dmelanogaster.UCSC.dm3.ensGene,TxDb.Hsapiens.BioMart.igis,TxDb.Hsapiens.UCSC.hg18.knownGene,TxDb.Hsapiens.UCSC.hg19.knownGene,TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,TxDb.Hsapiens.UCSC.hg38.knownGene,TxDb.Mmusculus.UCSC.mm10.ensGene,TxDb.Mmusculus.UCSC.mm10.knownGene,TxDb.Mmusculus.UCSC.mm9.knownGene,TxDb.Rnorvegicus.BioMart.igis,TxDb.Rnorvegicus.UCSC.rn4.ensGene,TxDb.Rnorvegicus.UCSC.rn5.refGene,TxDb.Scerevisiae.UCSC.sacCer2.sgdGene,TxDb.Scerevisiae.UCSC.sacCer3.sgdGene",
GenomicFiles,"DataImport,Infrastructure,Sequencing,Software",,,Artistic-2.0,,"GenomicAlignments,IRanges",,&nbsp;,"BiocStyle,RUnit,genefilter,deepSNV,RNAseqData.HNRNPC.bam.chr14","R (>= 3.1.0), methods,BiocGenerics(>= 0.11.2),Rsamtools(>= 1.17.29),GenomicRanges(>= 1.17.16),rtracklayer(>= 1.25.3),BiocParallel(>= 0.7.0)",1.2.1,BioC 2.14 (R-3.1),derfinder,,
GenomicInteractions,"DataImport,DataRepresentation,Infrastructure,Software",,,GPL-3,,"Rsamtools,GenomicRanges,IRanges,data.table,stringr,rtracklayer,ggplot2,gridExtra, methods,igraph,plotrix",,&nbsp;,"knitr,BiocStyle,BSgenome.Hsapiens.UCSC.hg19,BSgenome.Mmusculus.UCSC.mm9",R (>= 2.10),1.0.3,BioC 3.0 (R-3.1),,,
GenomicRanges,"Annotation,Coverage,Genetics,GenomeAnnotation,Infrastructure,Sequencing,Software",,"S4Vectors,IRanges",Artistic-2.0,,"utils, stats,XVector","BeadArrayUseCases,BiocGenerics,BiocParallel,cummeRbund,DMRcate,GenomeInfoDb,interactiveDisplay,IRanges,metaseqR,MiRaGE,NarrowPeaks,NGScopy,SeqGSEA,STAN",&nbsp;,"AnnotationDbi(>= 1.21.1),AnnotationHub,BSgenome,BSgenome.Hsapiens.UCSC.hg19,BSgenome.Scerevisiae.UCSC.sacCer2,Biostrings(>= 2.25.3),Rsamtools(>= 1.13.53),GenomicAlignments,rtracklayer,KEGG.db,KEGGgraph,GenomicFeatures,TxDb.Dmelanogaster.UCSC.dm3.ensGene,TxDb.Hsapiens.UCSC.hg19.knownGene,TxDb.Athaliana.BioMart.plantsmart22,org.Sc.sgd.db,VariantAnnotation,edgeR,DESeq,DEXSeq,pasilla,pasillaBamSubset,RUnit,digest,BiocStyle","R (>= 2.10), methods,BiocGenerics(>= 0.11.3),S4Vectors(>= 0.2.3),IRanges(>= 1.99.28),GenomeInfoDb(>= 1.1.20)",1.18.4,BioC 2.6 (R-2.11),"ALDEx2,AnnotationHub,ArrayExpressHTS,ballgown,beadarray,BEAT,biovizBase,BiSeq,BSgenome,CAGEr,CexoR,chipenrich,chipenrich.data,ChIPseeker,chipseq,ChIPseqR,CNEr,copynumber,COSMIC.67,CoverageView,customProDB,derfinder,derfinderPlot,DNaseR,DOQTL,easyRNASeq,flipflop,FourCSeq,FunciSNP,GenomicAlignments,GenomicInteractions,GGBase,ggbio,GGtools,gwascat,h5vc,HTSeqGenie,HTSFilter,leeBamViews,lumi,M3D,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ESP6500SI.V2.SSA137.dbSNP138,MafDb.ESP6500SI.V2.SSA137.dbSNP138,MEDIPS,methyAnalysis,MethylSeekR,methylumi,MinimumDistance,MMDiff,NarrowPeaks,nucleR,oligoClasses,pepDat,pepStat,phastCons100way.UCSC.hg19,phastCons100way.UCSC.hg19,PICS,prebs,proBAMr,Pviz,qpgraph,QuasR,regionReport,Repitools,rnaSeqMap,roar,SeqArray,seqplots,SeqVarTools,ShortRead,simulatorZ,SNPchip,SNPlocs.Hsapiens.dbSNP.20090506,SNPlocs.Hsapiens.dbSNP.20100427,SNPlocs.Hsapiens.dbSNP.20101109,SNPlocs.Hsapiens.dbSNP.20110815,SNPlocs.Hsapiens.dbSNP.20111119,SNPlocs.Hsapiens.dbSNP.20120608,SNPlocs.Hsapiens.dbSNP141.GRCh38,SomatiCA,SomaticCancerAlterations,spliceR,SplicingGraphs,TFBSTools,ToPASeq,tracktables,triplex,VariantFiltering,waveTiling","airway,AllelicImbalance,annmap,Basic4Cseq,baySeq,biomvRCNS,BiSeq,BSgenome,bsseq,bumphunter,CAFE,casper,cheung2010,chimera,ChIPQC,chipseq,cleanUpdTSeq,cn.mops,compEpiTools,COPDSexualDimorphism,CSAR,csaw,DASiR,deepSNV,DESeq2,DEXSeq,DiffBind,DMRforPairs,DREAM4,dsQTL,EatonEtAlChIPseq,ensemblVEP,epigenomix,epivizr,exomeCopy,fastseg,fission,FourCSeq,geneRxCluster,genomes,GenomicAlignments,GenomicFeatures,GenomicFiles,GenomicTuples,genoset,GenoView,ggtut,gmapR,GOTHiC,groHMM,Gviz,hiAnnotator,HiTC,htSeqTools,IdeoViz,intansv,MBASED,metagene,methyAnalysis,methylPipe,minfi,MMDiff,OmicCircos,parathyroidSE,PING,QuasR,r3Cseq,R453Plus1Toolbox,Rariant,Rcade,rfPred,riboSeqR,RIPSeeker,Rsamtools,RSVSim,rtracklayer,segmentSeq,seqbias,SGSeq,SigFuge,SNPlocs.Hsapiens.dbSNP.20090506,SNPlocs.Hsapiens.dbSNP.20100427,SNPlocs.Hsapiens.dbSNP.20101109,SNPlocs.Hsapiens.dbSNP.20110815,SNPlocs.Hsapiens.dbSNP.20111119,SNPlocs.Hsapiens.dbSNP.20120608,SNPlocs.Hsapiens.dbSNP141.GRCh38,SomatiCA,SomaticSignatures,SplicingGraphs,trackViewer,TransView,VanillaICE,VariantAnnotation,VariantTools,vtpnet,wavClusteR",
GenomicTuples,"DataRepresentation,Infrastructure,Sequencing,Software",,Rcpp,Artistic-2.0,www.github.com/PeteHaitch/GenomicTuples,"Rcpp(>= 0.11.2),BiocGenerics,S4Vectors,Biobase",,&nbsp;,"testthat,knitr,BiocStyle","R (>= 2.10),GenomicRanges(>= 1.17.46),GenomeInfoDb, methods",1.0.0,BioC 3.0 (R-3.1),,,
Genominator,"Infrastructure,Software",,,Artistic-2.0,,"graphics, stats, utils",oneChannelGUI,&nbsp;,"biomaRt,ShortRead,yeastRNASeq","R (>= 2.10), methods,RSQLite,DBI(>= 0.2-5),BiocGenerics(>= 0.1.0),IRanges,GenomeGraphs",1.20.0,BioC 2.5 (R-2.10),,,
GlobalAncova,"DifferentialExpression,Microarray,OneChannel,Pathways,Software",,,GPL (>= 2),,"annotate,AnnotationDbi",,&nbsp;,"Biobase,annotate,GO.db,KEGG.db,golubEsets,hu6800.db,vsn,GSEABase,Rgraphviz","methods,corpcor,globaltest",3.34.0,BioC 1.7 (R-2.2),,,
GraphAT,"GraphAndNetwork,Network,Software",,,LGPL,,"graph,MCMCpack, methods, stats",,&nbsp;,,"R (>= 2.10),graph, methods",1.38.0,BioC 1.6 (R-2.1) or earlier,,,
GraphAlignment,"GraphAndNetwork,Network,Software",,,file LICENSE,http://www.thp.uni-koeln.de/~berg/GraphAlignment/,,,&nbsp;,,,1.30.0,BioC 2.2 (R-2.7),,,
GraphPAC,"Clustering,Proteomics,Software",,,GPL-2,,,,&nbsp;,"RUnit,BiocGenerics","R (>= 2.15),iPAC,igraph,TSP,RMallow",1.8.0,BioC 2.12 (R-3.0),,,
Gviz,"Microarray,Software,Visualization",,,Artistic-2.0,,"XVector(>= 0.5.7),rtracklayer(>= 1.25.13),lattice,RColorBrewer,biomaRt(>= 2.11.0),AnnotationDbi(>= 1.27.5),Biobase(>= 2.15.3),GenomicFeatures(>= 1.17.22),BSgenome(>= 1.33.1),Biostrings(>= 2.33.11),biovizBase(>= 1.13.8),Rsamtools(>= 1.17.28),latticeExtra(>= 0.6-26),matrixStats(>= 0.8.14),GenomicAlignments(>= 1.1.16)","annmap,CNEr,gwascat,interactiveDisplay,QuasR,SplicingGraphs,STAN",&nbsp;,"xtable,BSgenome.Hsapiens.UCSC.hg19,BiocStyle","R (>= 2.10.0), methods, grid,BiocGenerics(>= 0.11.3),S4Vectors(>= 0.1.0),IRanges(>= 1.99.18),GenomeInfoDb(>= 1.1.3),GenomicRanges(>= 1.17.20)",1.10.11,BioC 2.10 (R-2.15),"AllelicImbalance,GGtools,methyAnalysis,methylPipe,PING,trackViewer","biomvRCNS,cummeRbund,DMRforPairs,Pbase,Pviz",
HCsnip,"Clustering,GeneExpression,Microarray,Software,aCGH",,,GPL (>= 2),,,,&nbsp;,,"R (>= 2.10.0),survival,coin,fpc,clusterRepro,impute,randomForestSRC,sm,sigaR,Biobase",1.6.0,BioC 2.12 (R-3.0),,,
HDTD,"DifferentialExpression,GeneExpression,Genetics,Microarray,RNASeq,Software,StatisticalMethod",,,GPL-3,,,,&nbsp;,,,1.0.0,BioC 3.0 (R-3.1),,,
HELP,"CpGIsland,DNAMethylation,DataImport,Microarray,Preprocessing,QualityControl,Software,TwoChannel,Visualization",,,GPL (>= 2),,,,&nbsp;,,"R (>= 2.8.0), stats, graphics, grDevices,Biobase, methods",1.24.0,BioC 2.3 (R-2.8),,,
HEM,"DifferentialExpression,Microarray,Software",,,GPL (>= 2),http://www.healthsystem.virginia.edu/internet/hes/biostat/bioinformatics/,"Biobase, grDevices, stats, utils",,&nbsp;,,R (>= 2.1.0),1.38.0,BioC 1.7 (R-2.2),,,
HMMcopy,"CopyNumberVariation,Microarray,Preprocessing,Sequencing,Software,Visualization",,,GPL-3,,,,&nbsp;,,"R (>= 2.10.0),IRanges(>= 1.4.16),geneplotter(>= 1.24.0)",1.8.0,BioC 2.11 (R-2.15),,,
HTSFilter,"DifferentialExpression,Preprocessing,RNASeq,Sequencing,Software",,,Artistic-2.0,,"DESeq(>= 1.8.3),edgeR(>= 2.6.12),DESeq2(>= 1.2.8),GenomicRanges,IRanges",,&nbsp;,EDASeq(>= 1.2.0),"methods,Biobase(>= 2.16.0), R (>= 2.10.0)",1.6.0,BioC 2.12 (R-3.0),,,
HTSanalyzeR,"CellBasedAssays,MultipleComparison,Software",,,Artistic-2.0,,"graph,igraph,GSEABase,BioNet,cellHTS2,AnnotationDbi,biomaRt,RankProd",RTN,&nbsp;,"KEGG.db,GO.db,org.Dm.eg.db,GOstats,org.Ce.eg.db,org.Mm.eg.db,org.Rn.eg.db,org.Hs.eg.db,snow","R (>= 2.15),igraph, methods",2.18.0,BioC 2.7 (R-2.12),"Mulder2012,phenoTest",,
HTSeqGenie,Software,,,Artistic-2.0,,"BiocGenerics(>= 0.2.0),IRanges(>= 1.21.39),GenomicRanges(>= 1.7.12),Rsamtools(>= 1.8.5),Biostrings(>= 2.24.1),chipseq(>= 1.6.1),hwriter(>= 1.3.0),Cairo(>= 1.5.5),GenomicFeatures(>= 1.9.31),BiocParallel, parallel, tools,rtracklayer(>= 1.17.19),GenomicAlignments,VariantTools(>= 1.7.7)",,&nbsp;,"TxDb.Hsapiens.UCSC.hg19.knownGene,LungCancerLines,org.Hs.eg.db","R (>= 3.0.0),gmapR(>= 1.8.0),ShortRead(>= 1.19.13),VariantAnnotation(>= 1.8.3)",3.16.1,BioC 2.11 (R-2.15),,,
HTqPCR,"DataImport,DifferentialExpression,GeneExpression,MicrotitrePlateAssay,MultipleComparison,Preprocessing,QualityControl,Software,Visualization,qPCR",,,Artistic-2.0,http://www.ebi.ac.uk/bertone/software,"affy,Biobase,gplots, graphics, grDevices,limma, methods,RColorBrewer, stats, stats4, utils",,&nbsp;,statmod,"Biobase,RColorBrewer,limma",1.20.0,BioC 2.5 (R-2.10),"nondetects,unifiedWMWqPCR",,
Harshlight,"Microarray,OneChannel,Preprocessing,QualityControl,ReportWriting,Software",,,GPL (>= 2),http://asterion.rockefeller.edu/Harshlight/,"affy,altcdfenvs,Biobase, stats, utils",,&nbsp;,,R (>= 2.10),1.38.0,BioC 1.9 (R-2.4),,,
Heatplus,"Microarray,Software,Visualization",,,GPL (>= 2),,"graphics, grDevices, stats",,&nbsp;,"Biobase,hgu95av2.db,limma",,2.12.0,BioC 1.8 (R-2.3),,"GeneAnswers,phenoTest,tRanslatome",
HiTC,"HighThroughputSequencing,Sequencing,Software",,,Artistic-2.0,,"Biostrings, graphics, grDevices,rtracklayer,RColorBrewer,Matrix",HiCDataHumanIMR90,&nbsp;,BiocStyle,"R (>= 2.15.0), methods,IRanges,GenomicRanges",1.10.0,BioC 2.10 (R-2.15),,,
HilbertVis,"Software,Visualization",,,GPL (>= 3),http://www.ebi.ac.uk/~anders/hilbert,,,&nbsp;,"IRanges,EBImage","R (>= 2.6.0), grid,lattice",1.24.0,BioC 2.3 (R-2.8),ChIPseqR,HilbertVisGUI,
HilbertVisGUI,"Software,Visualization",,,GPL (>= 3),http://www.ebi.ac.uk/~anders/hilbert,,,&nbsp;,"lattice,IRanges","R (>= 2.6.0),HilbertVis(>= 1.1.6)",1.24.0,BioC 2.3 (R-2.8),,,gtkmm-2.4
HybridMTest,"GeneExpression,Genetics,Microarray,Software",,,GPL Version 2 or later,,stats,,&nbsp;,,"R (>= 2.9.0),Biobase,fdrtool,MASS,survival",1.10.0,BioC 2.10 (R-2.15),,,
IMPCdata,"ExperimentData,Software",,,file LICENSE,,rjson,,&nbsp;,,R (>= 2.3.0),1.0.0,BioC 3.0 (R-3.1),,,
INPower,"SNP,Software",,,GPL-2 + file LICENSE,,,,&nbsp;,"RUnit,BiocGenerics","R (>= 3.1.0),mvtnorm",1.2.0,BioC 2.14 (R-3.1),,,
IPPD,"Proteomics,Software",,,GPL (version 2 or later),,"methods, stats, graphics",RforProteomics,&nbsp;,,"R (>= 2.12.0),MASS,Matrix,XML,digest,bitops",1.14.0,BioC 2.8 (R-2.13),,,
